ID,Text
6292,"As far as college education is concerned, we need to make those student loans available."
6307,I think it's important to foster competition inside the public schools.
6328,And we need to fix a lot of the problems.
6331,I think the Head Start program is a great program.
6338,We need to have transparency.
6344,And we'll care for these young children.
6351,I'll just make a quick comment about vouchers in D.C.
6392,And that's why the biggest risk we could take right now is to adopt the same failed policies and the same failed politics that we've seen over the last eight years and somehow expect a different result.
6399,In businesses that can create the new energy economy of the future.
6402,And these are the policies I want to bring to the White House.
6403,But it's not going to be easy.
6406,I'm absolutely convinced we can do it.
7396,"And frankly, I think we have a lot more loving of our neighbor to do in this country and on this planet."
7340,"If a president doesn't reach out and bring people in and be inclusive, then how are we going to get over those barriers?"
7336,"Now, let me just share something."
7269,"But I think it makes sense, I think most Americans in their guts know, that we ought to pass a sort of truth standard."
7180,Is that a new question or a 30-second question?
7162,You cannot solve a problem unless you diagnose the problem.
7143,We also need to hold on to equal pay.
7142,What we need to do is raise the minimum wage.
7131,"Well, I'm glad you raised that question."
7082,I don't think we ought to reward illegal behavior.
7074,"And so in order to take pressure off the borders, in order to make the borders more secure, I believe there ought to be a temporary worker card that allows a willing worker and a willing employer to mate up, so long as there's not an American willing to do that job, to join up in order to be able to fulfill the employers' needs."
7049,But the way to make sure our economy grows is not to raise taxes on small-business owners.
7023,I have a plan to put America back to work.
6993,We're going to protect Social Security.
6992,And that's what we're going to do.
6946,Americans ought to have it too.
6910,"If it's good enough for us, it's good enough for every American."
6903,But I got a better plan.
6776,"It's between a woman, God and her doctor."
6729,"You know, Bob, I don't know."
6701,"I believe the role of government is to stand side by side with our citizens to help them realize their dreams, not tell citizens how to live their lives."
6584,I'm going to stand up and fight for the American worker.
6449,"Well, first of all, Bob, thank you for moderating tonight."
7596,There isn't any question but that we will defend Guantanamo if it's attacked.
7637,"But when the president of the United States is doing something that's right, something that is for the purpose of defending the security of this country against surprise attack, he can never express regrets or apologize to anybody, including Mr. Khrushchev."
7650,I think we have to make progress first in the field of employment.
7653,"Second, in the field of schools, we believe that there should be provisions whereby the federal government would give assistance to those districts who do want to integrate their schools."
7702,We are a goldfish bowl before the world.
7722,Let me s- look also at what I did.
7747,Now looking to what we ought to do in the future.
7847,"Third, I believe we should step up the use of our surplus foods in these areas until we're able to get the people back to work."
7871,"I think in many ways this election is more important than any since 1932, or certainly almost any in this century."
7923,"On the question of the summit, I agree with the position of Mr. Nixon."
7939,"Now, many of the programs that I'm talking about - economic growth, care for the aged, development of our natural resources - build the strength of the United States."
8016,"I believe that when you get into a w- if you're going to get into war for the defense of Formosa, it ought to be on a clearly defined line."
8123,"This is a great country, but I think it could be a greater country; and this is a powerful country, but I think it could be a more powerful country."
8136,I'm not satisfied until every American enjoys his full constitutional rights.
8164,That is the obligation upon our generation.
8188,Is the United States standing still?
8222,What kind of programs are we for?
8229,I think that the means that I advocate will reach that goal better than the means that he advocates.
8239,Because it isn't a question of how much the federal government spends; it isn't a question of which government does the most.
8310,In my judgment the only policy that will work will be for effective supply and demand to be in balance.
8319,I of course disagree with Senator Kennedy insofar as his suggestions as to what should be done uh - with re- on the farm program.
8353,Uh - I can only say that my experience is there for the people to consider; Senator Kennedy's is there for the people to consider.
8422,Why did Senator Kennedy take that position then?
8437,My objection here is not the cost in dollars.
8533,That's why we have to continue to be alert.
8546,Now that isn't the test of whether America moves.
8562,"I think that's the big assignment, the big task, the big function of the federal government."
8596,And I stand for programs that will mean growth and progress.
8597,But it is also essential that he not allow a dollar spent that could be better spent by the people themselves.
8612,The means are at issue.
8710,Why not leave it with them?
8718,"Well, I believe that conservation, at course, is worthy in and of itself."
8824,"That is just a downpayment, in my opinion."
8835,But I am not in favor of the plan that is so costly.
8974,"Now also, with regard to the figures about California."
9000,"Now, whether it is rightful, on a single issue, for anyone to advocate that someone should not be elected or not, I won't take a position on that."
9027,"With regard to the freedom of the individual for choice with regard to abortion, there's one individual who's not being considered at all."
9063,"I believe the people of this country can, and together, we can begin the world over again."
9128,"Thank you, Mr. President, also for being part of this -- this debate."
9136,We have to make sure that we make it easier for kids to afford college.
9145,I know what it takes to get this economy going.
9150,I'm going to change that.
9164,"Jeremy, first of all, your future is bright."
9247,We've also got to look to the future.
9272,So where'd the increase come from?
9292,I'll get America and North America energy independent.
9294,We're going to bring that pipeline in from Canada.
9332,How much did you cut them by?
9333,I'm happy to answer the question.
9350,And production on gas --
9367,I don't think the American people believe that.
9395,And we need to win that future.
9396,And I intend to win it as President of the United States.
9457,Why am I lowering taxes on the middle-class?
9461,"And I will not, under any circumstances increase taxes on the middle-class."
9487,It will be good for our economy and it will be good for job creation.
9494,I think that grows the economy.
9495,I think what grows the economy is when we make sure small businesses are getting a tax credit for hiring veterans who fought for our country.
9516,We don't have to live like this.
9591,"Well, Katherine, that's a great question."
9630,Let's have a flexible schedule so you can have hours that work for you.
9677,And I appreciate that question.
9683,The time -- the time...
9693,Let me come back and -- and answer your question.
9694,President Bush and I are -- are different people and these are different times and that's why my five point plan is so different than what he would have done.
9716,I know how to make that happen.
9735,But the last point I want to make is this.
9860,Thank you for your question.
9867,I want it to be streamlined.
9868,I want it to be clearer.
9872,We should make sure our legal system works.
9876,So I will not grant amnesty to those who have come here illegally.
9952,"Mr. President, let me finish."
9984,I do want to make sure that -- I do want to make sure that we just understand something.
9992,And we want to encourage that.
10040,"Thank you Kerry for your question, it's an important one."
10088,"Can you say that a little louder, Candy?"
10102,I'm happy to have a longer conversation --
10196,But -- but it'll -- it'll -- it'll be...
10261,OK. We need to create jobs here.
10275,"The way we're going to create jobs here is not just to change our tax code, but also to double our exports."
10292,We can compete with anyone in the world as long as the playing field is level.
10298,"We will have to have people play on a fair basis, that's number one."
10333,"Thank you, and that's an opportunity for me, and I appreciate it."
10337,I want 100 percent of the American people to have a bright and prosperous future.
10338,I care about our kids.
10359,I will get us on track to a balanced budget.
10372,I believe that the free enterprise system is the greatest engine of prosperity the world's ever known.
10386,And I want to fight for them.
10437,"Well, Alan (ph), thank you very much for the question."
10451,The middle-class need a rescue package.
10455,"And then long-term we've got to fix our health care system, we've got to fix our energy system that is putting such an enormous burden on families."
10461,"And, Alan (ph), thank you for your question."
10462,You go to the heart of America's worries tonight.
10464,It's our job to fix the problem.
10465,"Now, I have a plan to fix this problem and it has got to do with energy independence."
10467,We have to keep Americans' taxes low.
10469,Let's not raise taxes on anybody today.
10472,We've got to have a package of reforms and it has got to lead to reform prosperity and peace in the world.
10479,And we've got to give some trust and confidence back to America.
10494,"But I think the first criteria, Tom, would have to be somebody who immediately Americans identify with, immediately say, we can trust that individual."
10498,She knows how to create jobs.
10508,Prosperity is not just going to trickle down.
10513,"And that's why, for example, on tax policy, what I want to do is provide a middle class tax cut to 95 percent of working Americans, those who are working two jobs, people who are not spending enough time with their kids, because they are struggling to make ends meet."
10514,Senator McCain is right that we've got to stabilize housing prices.
10574,I think it depends on what we do.
10579,Americans' workers are the best in the world.
10586,And we've got to give them a chance.
10587,They've got -- we've got to give them a chance to do their best again.
10597,Maybe you don't go out to dinner as much.
10610,So here's what I would do.
10615,We are mortgaging our children's future.
10630,And we need to reform.
10634,I don't expect you to watch every vote.
10659,I think it's very important that we reform our entitlement programs.
10682,So we've got to deal with that right away.
10685,And we can do it.
10687,So that would be priority number one.
10692,We do need to look at our records.
10699,That's what I'm going to do as president of the United States.
10707,"Well, Fiora (ph), I'm going to ask the American people to understand that there are some programs that we may have to eliminate."
10713,I believe that we have to eliminate the earmarks.
10719,"And, by the way, I want to go back a second."
10720,"Look, we can attack health care and energy at the same time."
10723,"We can, with the participation of all Americans, work together and solve these problems together."
10730,That wasn't the kind of call to service that I think the American people were looking for.
10737,We're going to have to develop clean coal technology and safe ways to store nuclear energy.
10738,"But each and every one of us can start thinking about how can we save energy in our homes, in our buildings."
10762,"Well, you know, nailing down Senator Obama's various tax proposals is like nailing Jell-O to the wall."
10771,"I've got some news, Senator Obama, the news is bad."
10794,"So let's be clear about my tax plan and Senator McCain's, because we're not going to be able to deal with entitlements unless we understand the revenues coming in."
10815,I want to get to Medicare in a second.
10842,And our best days are ahead of us.
10859,"Now, how -- what's -- what's the best way of fixing it?"
10874,"And we can do it, but we're going to have to make an investment."
10889,We've got to make sure that we're giving them the energy that they need or helping them to create the energy that they need.
10892,I'm just trying to keep up with John.
10899,I think pure research and development investment on the part of the United States government is certainly appropriate.
10901,"By the way, my friends, I know you grow a little weary with this back-and-forth."
10952,"Well, thank you for the question."
10955,And we need to do all of the things that are necessary to make it more efficient.
10959,Let's do a lot of things to impose efficiencies.
10967,"I want to give every American a $5,000 refundable tax credit."
10970,Don't we go across state lines when we purchase other things in America?
10974,But the point is that we have got to give people choice in America and not mandate things on them and give them the ability.
10978,We've got to give them the wherewithal to do it.
10998,So let me -- let me just talk about this fundamental difference.
11001,All I'm going to do is help you to lower the premiums on it.
11026,And that is one of the challenges that America faces.
11061,"Well, we may not always have national security issues at stake, but we have moral issues at stake."
11062,"If we could have intervened effectively in the Holocaust, who among us would say that we had a moral obligation not to go in?"
11065,"And so I do believe that we have to consider it as part of our interests, our national interests, in intervening where possible."
11072,And that's what I intend to do when I'm president.
11074,"Well, let me just follow up, my friends."
11080,"And we must do whatever we can to prevent genocide, whatever we can to prevent these terrible calamities that we have said never again."
11081,But it also has to be tempered with our ability to beneficially affect the situation.
11094,And I understand that we have to say never again to a Holocaust and never again to Rwanda.
11130,And that is to get the support of the people.
11132,"And by working and coordinating our efforts together, not threatening to attack them, but working with them, and where necessary use force, but talk softly, but carry a big stick."
11145,It'd be fine with me.
11191,"We are going to have to make the Iraqi government start taking more responsibility, withdraw our troops in a responsible way over time, because we're going to have to put some additional troops in Afghanistan."
11195,And we want a democracy in Afghanistan.
11203,We have to have a streamlined NATO command structure.
11204,We have to do a lot of things.
11210,We will succeed and we will bring our troops home with honor and victory and not in defeat.
11228,"But the Russians must understand that these kinds of actions and activities are not acceptable and hopefully we will use the leverage, economic, diplomatic and others united with our allies, with our allies and friends in Europe who are equally disturbed as we are about their recent behaviors."
11234,And for the most part I agree with Senator McCain on many of the steps that have to be taken.
11235,But we can't just provide moral support.
11240,"The other thing we have to do, though, is we've got to see around the corners."
11277,"Well, thank you, Terry (ph)."
11278,And thank you for your service to the country.
11293,And I think we can do that.
11295,"But, at the end of the day, my friend, I have to tell you again, and you know what it's like to serve, and you know what it's like to sacrifice, but we can never allow a second Holocaust to take place."
11299,It would be a game-changer in the region.
11302,And I will do everything that's required to prevent it.
11327,But here's what I do know.
11333,And the question in this election is: are we going to pass on that same American dream to the next generation?
11340,That's what's at stake in this election.
11351,"There are challenges around the world that are new and different and there will be different -- we will be talking about countries sometime in the future that we hardly know where they are on the map, some Americans."
11357,I know what it's like to have to fight to keep one's hope going through difficult times.
11665,I thought that was a good model.
11676,I don't think we agree on that.
11975,And I think that's a private matter.
12557,"And so we need military strength, we need economic strength, we also need the right diplomatic policies."
12568,"And you cannot fight a victory for Communism or a strategy of victory for Communism with the strategy, simply of holding the line."
12613,But are we doing enough in these areas?
12619,Are we doing enough in that area?
12651,I think we are today.
12690,"Now, what can we do?"
12736,So that is my answer to this question.
12750,"Second, as far as this report is concerned, I would have no objection to having it made public."
12791,"I think we should go back to Geneva, who's ever elected president, Mr. Nixon or myself, and try once again."
12829,This means at the secretary of state level and at the ambassadorial level.
12832,"I don't believe we should go to a summit conference unless we have such an agenda, unless we have some reasonable insur- assurance from Mr. Khrushchev that he intends seriously to negotiate on those points."
12885,We can make it move.
12922,"If he says that, this issue will not be discussed in the campaign."
12990,Let's talk about civil rights.
12994,Anybody that says America has been standing still for the last seven and a half years hasn't been traveling in America.
13002,"It is essential that we extend freedom, extend it to all the world."
13003,And this means more than what we've been doing.
13144,"Then I believe that we should move full time on our missile production, particularly on Minuteman and on Polaris."
13153,"Now, we may not succeed."
13187,What do we do then?
13198,But certainly we're not going to have peace by giving in and indicating in advance that we are not going to defend what has become a symbol of freedom.
13206,"I would take any action necessary to defend the treaty, Formosa, and the Pescadores Island."
13295,"I don't suggest that, I don't support it."
13322,"Uh - Also, so that we can get the uh - opportunity for the questioners to question me, it will be before the next television debate."
13346,The difficulty now is the president's course is quite limited.
13388,"I don't believe we ought to pay our bills through inflation, through a phony interest rate."
13396,"We've got to grow enough to maintain the forces that we have abroad and to wage the non-military battle for the war - uh - for the world in Asia, in Africa and Latin America."
13403,We have to move into those areas with programs so that we make adequate use of the resources of those areas.
13462,And so he would be doing exactly the wrong thing.
13469,I oppose it because I want us to have more oil exploration and not less.
13502,I believe that we must be able to compete in the market - steel and in all the basic commodities abroad - we must be able to compete against them because we always did because of our technological lead.
13790,I thought you'd forgotten I was here.
14104,So I have to stand up for myself.
14659,I don't think we're a declining nation.
14752,"Then the question is, can we govern?"
14937,I'll have to get this out very fast.
15125,"I have no quarrel whatsoever with the things that have been done, because I believe it is high time that the civilized countries of the world made it plain that there is no room worldwide for terrorism; there will be no negotiation with terrorists of any kind."
15167,"To negotiate with the Soviet Union a balanced, controlled, observable, and then reducing levels of atomic weaponry, there is a disturbing pattern in the attitude of Governor Reagan."
15259,I just happen to believe that free enterprise can do a better job of producing the things that people need than government can.
15409,I thought that was the subject we were supposed to be on.
15418,"I've seen the strength of my nation, and I've seen the crises it approached in a tentative way."
15422,I consider myself in the mainstream of my party.
15426,"And we must extend the benefits of our own commitment to peace, to create a peaceful world."
15460,I know that the economic program that I have proposed for this nation in the next few years can resolve many of the problems that trouble us today.
15491,And I want to call a hemispheric summit just as soon after the 20th of January as possible to fight that war.
15525,"You know, the American people are fair."
15527,They want to judge it on the record itself.
15559,"And I don't want to do that, and I won't do that."
15561,And it's going to take discipline of the executive branch; it's going to take discipline of the congressional branch.
15564,The American people are pretty smart: they know who writes out the checks.
15565,And they know who appropriates the money.
15570,"And those pessimists who say it can't be done, I'm sorry, I just have a fundamental disagreement with them"
15583,will go out and do the job that we expect of him and do it with the Congress of the United States.
15597,"We can do all of those things, and at the same time build a future in which we are standing on a good strong fiscal foundation."
15607,I'm not going to do that; I won't do that.
15632,"I think the presidency of the United States is a very serious office, and I think we have to address these issues in a very serious way."
15633,So I hope and expect that I will be liked by the people of this country as president of the United States; I certainly hope I will be liked by them on the 8th of November.
15638,"So that pledge isn't realistic, and I think the vice president knows it; I think the people of this country know it."
15640,"And I am going to be a president who is serious, I hope and expect will be liked by the American people."
15641,"But more than that, to do the kind of job that I'm elected to do, will do it with as much good humor as I can, but at the same time will do it in a way which will achieve the goals we want for ourselves and our people."
15645,"I think it's whether you share the broad dreams of the American people, whether you have confidence in the people's ability to get things done or whether you think it all should be turned over, as many of the liberals do, to Washington, D.C. You see, I think it's a question of values, not likability or loveability, it's a question in foreign affairs in experience, knowing world leaders, knowing how to build on a superb record of this administration in arms control, because you'd know exactly how to begin."
15646,You have to learn from experience that making unilateral cuts in defense system is not the way that you enhance peace.
15648,"It is, though, trying to understand the heartbeat of the country."
15682,It's our vision of America.
15686,"I think this is a great country, because we've always wanted to do better, to make our country better, to make our lives better."
15689,That's the kind of leadership I want to provide.
15690,"But I don't think these labels mean a thing and I would hope that tonight in the course of the rest of this campaign, we can have good solid disagreements on issues."
15718,"They continue to modernize and we can't simply we've got enough nuclear weapons, let's freeze."
15726,"Now, my defense secretary is going to have a lot to do with those decisions, but it's going to be the President who's going to have to ultimately decide before that budget goes to the Congress what weapons systems are going to go and what are going to stay."
15730,Those are decisions that the chief executive has to make.
15731,"Yes, we're going to have a strong and credible and effective nuclear deterrent."
15750,So military security and economic security go hand in hand.
15751,And we will have a strong and effective and credible nuclear deterrent.
15763,Can we start the clock over?
15787,Some of my fellow governors who are real heroes to me.
15789,We were proud of them.
15796,"But more than that, they are role models."
15801,These are people that give of themselves everyday and every week and every month.
15810,"And there's nothing corny about having sports heroes, young people that are clean and honorable and out there setting the pace."
15829,I had something very nice to say in there.
15842,And so I would say that the concept of the Dukakis family has my great respect.
15856,I salute those who participate in the political process.
15874,We may have different approaches.
15881,the tone we've just heard might just be the tone we have for the rest of the campaign.
15905,"But that's the way I, George Bush, feel about it."
15930,It's not going to happen overnight; it certainly will have to happen on a step-by-step basis as we make progress in arms negotiation and arms control and arms reduction.
15937,"See, I don't believe any other country can pick up the mantel."
15939,I don't think we can turn over these kinds of decisions of the collective defense to the United Nations or anything else.
15947,We don't give away our hand before we sit down at the head table.
15987,The Congress is doing a better job of it.
15989,But they don't work if you go raise taxes and then the Congress spends it continues to spend that.
16006,And there are several there's a good political reason because it's just about this time of year that the Democrats start saying the Republicans are going to take away your Social Security.
16017,We do not have to do it.
16044,I won't support judges like that.
16046,But I will go out there and find men and women to interpret.
16047,"And I don't have a list, but I think the appointments that the President has made to the Bench have been outstanding, outstanding appointments."
16093,"But I do think there are flexible ways to solve some of the pressing problems, particularly that affect our children."
16099,We're going to tell you how to do it all.
16101,You ought to go out and see around this country what's happening in the volunteer section: Americans helping America.
16116,I just have to correct the record.
16131,It's a contract between generations.
16184,"So I'll just keep saying, I am one."
16186,I'm not going to do that.
16187,That boo was excessively loud.
16193,I believe in our parks.
16227,I will not agree to another debate.
16236,But I'll try harder to keep it on a high plane.
16246,But it's not getting out because there are too few debates.
16256,"(Laughter, applause) Isn't that the point?"
16257,Most Americans believe in basic values.
16258,We have differences about how to achieve them.
16263,"But those are the issues on which we ought to be debating and if we can just put away the flag factories and the balloons and those kinds of thing and get on to a real discussion of these issues, I think we will have a good success."
16269,But we also need well-equipped and well-trained and well-supported conventional forces.
16274,"Let's get him working on Syria, their client state, and see if we can't get them to join Israel and other Arab nations, if at all possible, and Arab leaders, in finally bringing peace to that troubled region."
16275,And I think that's one reason why we need fresh leadership in the White House that can make progress now in bringing peace to the Middle East.
16276,"Let's go to work and end this fiasco in Central America, a failed policy which has actually increased Cuban and Soviet influence."
16281,"And we've got to work with them if we are going to create an environment for human rights and democracy for the people of this hemisphere, and go to work on our single most important problem, and that is the avalanche of drugs that is poring into our country and virtually destroying those countries."
16307,Maybe the Vice President has an answer.
16308,But I'm somebody who believes very strongly in taking care of the fundamentals first before you start new stuff.
16313,"Maybe in Idaho, to take care of the requirements, nuclear material requirements, for our Defense Department?"
16315,"This sounds like real progress here, because we've had a big difference on the safe use of nuclear power for our energy base."
16316,"I believe that we must use clean, safe nuclear power."
16320,So I am one who believes that we can
16332,I believe that public service is honorable.
16340,I will see that these standards apply to the United States Congress.
16388,Sometimes it does seem that a campaign generates more heat than light.
16392,I want to invest in our children.
16402,"America stands tall again, and as a result, we are credible."
16408,And I ask for your support on November 8th.
16410,"Working together, we can do wonderful things for the United States and the Free World."
16467,"Those are the kind of specifics that I think we have to discuss on these uh - debates, and these are the kind of programs that I'll talk about on my time."
16509,And this is why a tax reform is so important.
16579,"But I think that now is the time to heal our country after the Vietnam War and I think that what the people are concerned about is not the - uh pardon or the amnesty of uh - those who evaded the draft, but - but whether or not our crime system is - is fair."
16600,We need to put the responsibilities back on the cabinet members.
16626,We uh - have got to do that at the federal government level.
