ID,Text,Category
155,So the problem is - it's not that the working is being taxed too little or the person working out - the woman working in some factory being taxed too little.,No
156,It is that we are continuing to spend too much.,No
158,Permit the president to set the priorities on where we do the spending.,No
159,"And remember the Federal deficit has come down $70 billion in one year, in 1987.",Yes
160,And if we - and the - actually this year Congress is doing a little better in controlling the growth of spending.,No
161,Spending was only up something like 4 percent.,Yes
162,"So, it isn't that we're taking too little - from taxpayer - we're spending too much still.",No
163,"And the formula I've given you works, we've put it through a good economic model, we've got good economists on the West Coast, Michael Boskin and Marty Feldstein up there who's a very respected economist in the - Massachusetts.",No
165,"Capital gains, one more point on that, please let's learn from history.",No
166,"A capital gains differential will increase jobs, increase risk taking, increase revenues to the Federal Government.",No
168,"Well, I hope all of those Americans out there who are watching us, listening to us and trying to make up their mind about which one of us ought to be president of the United States listen to the Vice President very carefully.",No
173,"It's time for a chief executive who can make tough choices, can work with the Congress, can get that deficit down and begin to build a strong fiscal foundation under this country.",No
180,I want to keep this economic recovery going.,No
181,"More Americans at work today than any time in history, a greater percentage of the work force.",Yes
182,What I will do is permit people to buy into Medicaid.,No
183,I believe that's the answer.,No
186,But we've got to keep going forward without killing off the engine and throwing people out of work.,No
187,"So, the answer lies, it seems to me, in full enforcement of the catastrophic program.",No
188,"It lies to me in flexibility in Medicaid so people at the lowest end can buy in there and get their needs covered and then it also - I do not want to see us mandate across the board that every company has to do this, because I really think that marginal operators are going to go say, ""We can't make it.""",No
189,And I think then you're going to see that people are put out of work.,No
191,There isn't any such thing as something free out there.,No
192,It either gets passed along as increased prices or it gets passed along by people being put out of work so the business can continue to compete.,No
193,"So, I think we ought to do it in the Medicaid system.",No
194,I think we ought to do it by full enforcement of the catastrophic health insurance.,No
195,I think we ought to do it by everybody doing what they can do out of conscience.,No
197,But I just don't want to mandate it and risk putting this - setting the recovery back.,No
199,"But, George, that's no answer.",No
201,"Well, no, it's no answer to those 37 million people, most of them members of working families who don't have a dime of health insurance and don't know how to pay the bills if their kids get sick at night.",Yes
208,And I think it's time that when you got a job in this country it came with health insurance.,No
209,That's the way we're going to provide basic health security for all of the citizens of this country of ours.,No
217,Because has won the support of a great many people all over the state and I think it's a model for what I hope we can do across the country.,No
221,"Well, he was wrong then and he's wrong now.",No
226,Let me say this about AIDS.,No
230,But we have not had the kind of leadership we should have had.,No
231,"In this particular area, I think the Vice President and I are in general agreement on what we have to do.",No
232,The special Federal commission made good solid recommendations.,No
233,I think we're both supportive of them and I would strongly lead in that area as I have in my state as Governor.,No
235,"Well, we're on the right track.",No
239,But we got to have a knowledge base.,No
241,We can't simply stick our heads in the sands in terms of testing.,No
243,"And you got to be careful here, because there's a safety factor, but I think these things - and then also I am one who believes we've got to go the extra mile in clean - being sure that that blood supply is pure.",No
244,We cannot have a lack of confidence in the blood supply when it comes to operations and surgery and things of this nature.,No
245,"So, research, speeding the drugs to market, testing, blood supply are very important elements of this.",No
259,"Well, I don't question his passion.",No
260,I question - and I don't question his concern about the war in Vietnam.,No
261,He introduced or supported legislation back then that suggested that kids of Massachusetts should be exempt from going overseas in that war.,Yes
263,He - we have a big difference on issues.,No
265,"He said, ""I am a strong liberal Democrat"" - August, '87.",No
266,"Then he said, ""I am a card-carrying member of the ACLU.""",No
271,And I wish we had time to let me explain.,No
272,But I salute him for his passion.,No
273,"We just have a big difference on where this country should be led, and in what direction it ought to go.",No
282,But just take a look at the positions of the ACLU.,No
283,"But, Peter, please understand, the liberals do not like me talking about liberal They don't like it when I say that he says he's a card carrying member.",No
287,I simply don't want to see the ratings on movies.,No
290,I don't think they're right to try to take the tax exemption away from the Catholic Church.,No
291,"I don't want to see the kiddie pornographic laws repealed; I don't want to see ""under God"" come out from our currency.",No
292,"Now, these are all positions of the ACLU.",No
293,And I don't agree with them.,No
294,"He has every right to exercise his passion, as what he said, a strong, progressive liberal.",No
295,I don't agree with that.,No
297,And I think I'm more in touch with the mainstream of America.,No
299,"You see, I'd have found a way to sign that bill.",No
300,Governor Thompson of Illinois did.,No
301,I'm not questioning his patriotism.,No
303,And then all the liberal columnists join in.,No
307,"And that's all I'm trying to do, is put it in focus.",No
308,And I hope people don't think that I'm questioning his patriotism when I say he used his words to describe his participation in that organization.,No
311,"Of course, the vice president is questioning my patriotism.",No
312,"I don't think there's any question about that, and I resent it.",No
314,My parents came to this country as immigrants.,No
322,"Mr. Bush, I don't question your patriotism.",No
324,"I would hope that from this point on, we get to the issues that affect the vast majority of Americans, jobs, schools, health care, housing, the environment.",No
326,"Not labels that we attach to each other, questions about each other's patriotism and loyalty.",No
333,I want to see the McKinney Act fully funded.,No
334,I believe that that would help in terms of shelter.,No
335,"I want to see - when I talked at our convention about a thousand points of light, I was talking about the enormous numbers of shelters and organizations that help.",No
336,The governor's wife has been very active in the homeless.,No
337,"My campaign chairman, Secretary Jim Baker's wife.",No
339,"These are people that care, that are trying to give of themselves.",No
340,The government has a role.,No
342,There are certain army bases that the act calls for that can be used in certain cases to shelter people when it's rough.,Yes
345,I see an involvement by a thousand points of light.,No
346,"I see the funding that is required, and I hope the Congress will fully fund this bill.",No
347,They gave it a great deal of conscience and a great deal of work.,No
349,"But - and I, look, mental - that was a little overstated it.",No
350,I'd say around 30 percent.,No
351,And I think maybe we could look back over our shoulders and wonder whether it was right to let all those mental patients out.,No
352,Maybe we need to do a better job in mental clinics to help them.,No
353,Because there is a major problem there.,No
354,A lot of them are mentally sick.,No
355,And we've got to attend to them.,No
356,"But fully, my short range answer is fully fund that McKinney Act.",No
358,"Well, this is another fundamental difference that I have with the vice president, just as I do in the case of health care for 37 million members of working families in this country who don't have health insurance.",Yes
359,"The problem, Mr. Bush, is that you've cut back by 90 percent on our commitment to affordable housing for families of low and moderate income.",Yes
360,"And when you do that, you've have homeless families.",No
361,"We didn't have two and a half million, or three million homeless people living on streets and in doorways in this country ten years ago.",Yes
362,We've got to begin to get back to the business of building and rehabilitating housing for families of low and moderate income in this country; housing for young families that they can look forward some day to buy.,No
363,We've got communities in this country increasingly where our own kids can't afford to live in the communities that they grew up in.,No
365,And I think the housing community is ready.,No
366,"But it's going to take a president who's committed to housing, who's had experience in building and rehabilitating housing who understands that affordable housing for families of low and moderate income, for young families, first time home buyers, is an essential part of the American dream.",No
367,"And while I'm all for the McKinney bill, that, by itself, simply won't do.",No
368,"We've got to have a president that can lead on this issue, that can work with the Congress, and I'm prepared to do so.",No
375,Mr. Bush talked about values.,No
378,"Isn't providing housing for families of low and moderate income, isn't it making possible for young families, first time home buyers to own their own home some day something that's part of the American dream?",No
383,"Now, that's the kind of leadership that I want to provide as president of the United States.",No
386,"I've talked to bankers and builders and developers, the housing advocates, community development agencies, and they want leadership from Washington.",No
389,But governors are ready; mayors are ready.,No
390,Builders and community leaders are ready.,No
391,"It will require some funds, John.",No
392,And we ought to be prepared to provide those funds.,No
393,"But that, too, will require some choices.",No
395,"Well, that's a choice we have to make, isn't it?",No
396,"Do we spend money on that weapon system in the billions and trillions, or is providing some decent and affordable housing for families of this country something that is at least as important and probably more so.",No
397,Because it's so essential to our economic strength and to our future.,No
398,"Now, that's the kind of presidency I believe in.",No
399,"And simply to say, well, the McKinney bill will do it just doesn't do.",No
400,"We need a president who will lead on this issue, who has had experience on this issue.",No
405,"When you talk to those bankers, did they discuss where interest rates were when your party controlled the White House?",No
407,"Now, how does that grab you for increasing housing?",No
409,We are serving a million more families now.,Yes
414,I want to see more vouchers.,No
415,"I want to see control of some of these projects, and I want to keep the interest rates down.",No
421,"No, I don't think there is.",No
422,"There are two very different issues here, and they've got to be dealt with separately.",No
423,I'm opposed to the death penalty.,No
424,I think everybody knows that.,No
425,I'm also very tough on violent crime.,No
426,And that's one of the reasons why my state has cut crime by more than any other industrial state in America.,Yes
427,It's one of the reasons why we have the lowest murder rate of any industrial state in the country.,Yes
429,"You know, the vice president says he wants to impose the death penalty on drug traffickers, and yet his administration has a federal furlough program which is one of the most permissive in the country, which gave last year 7,000 furloughs to drug traffickers and drug pushers, the same people that he says he now wants to execute.",Yes
430,"The issue of abortion is a very difficult issue, one that I think that we all have to wrestle with, we have to come to terms with.",No
434,The question is who makes the decision.,No
435,"And I think it has to be the woman, in the exercise of her own conscience and religious beliefs, that makes that decision.",No
439,The federal program doesn't do that.,Yes
440,No other state programs do that.,Yes
441,And I favor the death penalty.,No
442,I know it's tough and honest people can disagree.,No
443,"But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life.",No
444,And I do believe it would be inhibiting.,No
447,And so we have a fundamental difference on this one.,No
450,I do not favor abortion.,No
457,I haven't sorted out the penalties.,No
460,"And if we can get this law changed, everybody should make the extraordinary effort to take these kids that are unwanted and sometimes aborted, take the - let them come to birth, and then put them in a family where they will be loved.",No
461,"And you see, yes, my position has evolved.",No
464,"Sometimes people feel a little uncomfortable talking about this, but it's much clearer for me now.",No
470,"Well, I think what the vice president is saying is that he's prepared to brand a woman a criminal for making this decision.",No
471,It's as simple as that.,No
477,"Let me simply say that I think it has to be the woman in the exercise of her own conscience and religious beliefs that makes that decision, and I think that's the right approach, the right decision, and I would hope by this time that Mr. Bush had sorted out this issue and come to terms with it as I have.",No
478,I respect his right to disagree with me.,No
488,"But, you see, my fundamental philosophy is give local and state government as much control as possible.",No
491,I think it is good.,No
492,"I think part of the answer to this haunting of these children that are out there and suffering lies in extension of Medicaid, to challenge the states, and maybe we're going to have to enforce more on the states in terms of Medicaid taking care of these.",No
494,"The neighborhood, the kind of environment people are growing up in, and that leads me to the programs I'm talking about in terms of education.",No
497,And so it's a combination of these things.,No
498,But do not erode out of the system the thousand points of light.,No
499,"The people that are out there trying to help these kids, the programs like cities and schools, the work that Barbara Bush is doing so people can learn to read in this country and then go on and break this cycle of poverty.",No
500,I'm for Head Start and moving that up.,No
501,"And I've already made a proposal - and yes, it will cost some money.",No
503,"So these are the combination of things I want, and the fact that I don't think the federal government can endorse a $35 billion program does not mean I have less compassion than the person who endorses such a program.",No
508,Let me just give you one other example.,No
511,"It's taken months and months and months to get Mr. Bush and the administration to support that legislation, and they're still resisting.",Yes
512,That's the way you help people.,No
513,"Being haunted, a thousand points of light - I don't know what that means.",No
514,I know what strong political leadership is.,No
515,I know what's happened over the course of the past eight years.,No
522,Welfare reform is one way to do it.,No
524,That's just one example of how you can save money and improve the quality of life at the same time.,No
526,One of the greatest barriers to opportunity for a family and for those children is the threat that they mat lose their health insurance.,No
527,Think about that father down there in Houston who has to tell his youngster that he can't play little league ball that he can't go out on the ball field because he's afraid he's going to get hurt.,No
528,"And yet, Mr. Bush says well, I don't think we ought to expect business to provide health insurance for their employees, when responsible employers, a majority of employers in this country do and are paying more for their insurance to reimburse hospitals for free care on account of people that are not insured, that have to go to that hospital.",Yes
530,"Were ready to go to work at the state and local level, all of us.",No
533,But it takes presidential leadership.,No
534,It takes a commitment to being involved and the leading.,No
535,And that's the kind of presidency I want to lead.,No
538,This is the problem I have with the big spending liberals.,No
539,They think the only way to do it is for the federal government to do it all.,No
540,The fact happens to be that education spending is up by the federal government; it is up.,Yes
542,But here's the point he misses.,No
547,And I would like to urge the school superintendents and the others around the country to stand up now and keep us moving forward on a path towards real excellence.,No
549,"But it's not going to be dedicated by some federal bureaucracy in Washington, D.C.",No
556,Of course that's a charge that's always made against any governor who runs for the presidency.,No
560,Its not the amount of time you spend in Washington.,No
561,It's not the length of your resume.,No
562,"It's your strength, it's your values, it's the quality of the people you pick.",No
563,"It's your understanding of the forces of change that are sweeping the world, and whether or not you're in a position to provide leadership to make those forces of change work for us and not against us.",No
564,The vice president has a long resume.,No
565,But it didn't stop him from endorsing the sale of arms to the Ayatollah.,No
571,"The question is values; the question is strength, the question is your willingness to provide the kind of leadership that must be provided.",No
574,"I think it take fresh leadership now, and an understanding of those forces of change to provide the kind of strength that we need, and perhaps the vice president can explain what he was doing when he supported the trading of arms to terrorist nation, and his involvement in Panama and that endorsement of Mr. Macros.",Yes
575,But I don't think it's just experience that makes the difference.,No
578,"Well, I thought the question was about defense.",No
580,"And because we didn't listen to the freeze advocates, and strengthen the defense of this country, we now have the first arms control agreement in the nuclear age.",Yes
586,But now we have a chance.,No
587,"I few have experience and now how to handle it, but please do not go back to the days when the military was as weak as they could be, when the morale was down, and when we were the laughing stock around the world.",No
588,"And now we are back, because we have strengthened the defenses of this country, and believe me, I don't want to see us return to those days.",No
590,It was under our administration that Mrs. Aquino came in.,Yes
596,And he just lifted martial law.,Yes
598,And all of those things happened because the Philippines do crave democracy.,No
604,I don't think it's a question of eliminating.,No
605,I can tell him some I'm against.,No
608,And I can go on and on.,No
610,"I mean, there's plenty of them that I oppose, but what I am not going to do, when we are negotiating with the Soviet Union, sitting down talking to Mr. Gorbachev about how we achieve a 50 percent reduction in our strategic weapons, I'm not going to give away a couple of aces I that very tough card game.",No
612,"And under me, when I lead this country, the secretary of defense is going to have to make the choices, between how we keep, how we protect the survivability of our nuclear deployment on the Midgetman missile, or on the Minuteman, whatever it is.",No
614,We're going to have to do that.,No
618,I hope it isn't Christmas when you make that decision.,No
619,wouldn't it be nice to be the ice man so you never make a mistake?,No
620,"These are the-my answer is do not make these unilateral cuts, and everybody now realizes that peace through strength works, and so this is where I have a big difference.",No
621,"Of course we're going to have to make some determination on this, and we're going to have to make it on the convention forces.",No
622,But now we've got a very good concept called competitive strategies.,No
623,We will do what we do best.,No
627,I want to be the president that gets conventional forces balance.,No
629,But you have to have a little bit of experience to know where to start.,No
630,And I think I've had that.,No
634,"I didn't hear, John, exactly where he was going to cut and what he was going to do.",No
635,"But I know this, we have serious financial problems in this country.",No
636,We've piled up over a trillion dollars in debt and the next president of the United States is going to have to make some choices.,Yes
639,I thought the administration was opposed to the Midgetman.,No
640,I thought the administration was at the negotiating table in Geneva suggesting that we ban mobile missile systems entirely.,No
641,But those are the choices the next president of the United States is going to have to make.,No
642,"I'm for the Stealth, I'm for the D-5, I'm for going ahead with the advance Cruise missile.",No
643,But I don't think we need these other systems.,No
645,"We've got to move ahead with the strategic arms negotiation process, with the comprehensive test ban treaty and with negotiations leading to conventional force reduction in Europe with deeper cuts on the Soviet side and Senator Bentsen and I will pursue that policy.",No
650,"What I think we ought to do is take a look at perestroika and glasnost, welcome them, but keep our eyes open.",No
653,"Yes, I think it's fine to do business with them.",No
654,"And, so, I'm encouraged with what I see when I talk to Mr. -- what I hear when I talk to Mr. Gorbachev and Mr. Shevardnadze, but can they pull it off.",No
661,And the interesting place-one of the things that fascinates me about this perestroika and glasnost is wheats going to happen in Eastern Europe.,No
662,You see the turmoil in Poland today.,No
663,And I think we have enormous opportunity for trade.,No
666,But this is an exciting time.,No
668,Look at the INF treaty.,No
669,"And if we haven't learned from the negotiating history on that, we'll never learn.",No
671,The Reagan-Bush administration was right.,No
675,"Nobody is suggesting that we unilaterally disarm or somehow reduce our strength, of course not.",No
676,What we're talking about is a combination of a strong and effective and credible nuclear deterrent.,No
677,"Strong, well-equipped, well-trained, well-maintained conventional forces.",No
678,"And at the same time a willingness to move forward steadily, thoughtfully cautiously.",No
679,We have serious differences with the Soviet Union.,No
680,"We have very fundamental differences about human rights, democracy and our basic system, our basic view of human beings and of what life is all about.",No
682,Senator Bentsen and I have a plan for the 1990's and beyond.,No
683,Mr. Bush and Mr. Quayle do not.,No
684,"And we want to pursue that plan in a way which will bring down the level of nuclear armament, will build a more stable and more peaceful world while making choices here at home.",No
686,We cannot be strong militarily when we're teeter-tottering on top of a mountain of debt which has been created in the past eight years.,No
693,"No, there's been no change of heart.",No
695,"But I don't know of any reputable scientist who believed that this system, at least as originally conceived could possibly work, this notion of some kind of astrodome over ourselves that could protect us from enemy attack.",Yes
701,We know where you're cutting right now.,No
702,You're cutting into the fiber and muscle of our conventional forces.,No
705,"Coast Guard cutters tied up at the dock this summer, not patrolling.",Yes
707,You have to make choices.,No
709,"And to spend billions and billions of dollars as Mr. Bush apparently wants to, although, he, himself has been all over the lot on this issue lately-on Star Wars-in my judgment makes no sense at all.",No
710,"We need a strong, credible, effective nuclear deterrent.",No
711,"We have 13,000 strategic nuclear warheads right now on land, on sea and in the air, enough to blow up the Soviet Union forty times over.",Yes
713,"So, we've got to move forward with those negotiations, get the level of strategic weapons down.",No
714,But to continue to commit billions to this system makes no sense at all and I think Mr. Bush has been reconsidering his position over the course of the past few weeks.,No
715,That's-at least that's what I read.,No
716,Maybe he'll tell us where he stand on it tonight.,No
718,I'm not reconsidering my position.,No
719,Two questions: How do you deter nuclear attack without modernizing our nuclear forces when the Soviets are modernizing and how come you spend-willing to spend a dime on something that you consider a fantasy and a fraud.,No
722,"The armed forces, the conventional forces of the United States have never been more ready.",No
723,Every single one of the Joint Chiefs will testify to the fact that readiness is in an historic high.,No
724,"And secondly, in terms of the cutting of the Coast Guard, the Democratic controlled Congress, so please help us with that, who cut $70 million from the Coast Guard out of the interdiction effort on narcotics.",Yes
728,"I will fully research it, go forward as fast as we can.",No
730,That is my position on SDI and it's never wavered a bit.,Yes
737,"Peter, it's one of the most agonizing decisions a president has to make.",No
740,"But if there's one thing we also understand it is that you cannot make concessions to terrorists, ever, ever.",No
741,"Because if you do, it's an open invitation to other terrorists to take hostages and to blackmail us.",No
742,And that's the tragedy of the Iran/Contra scandal.,No
746,We've got to be tough on international terrorism.,No
747,We've got to treat it as international crime.,No
749,"We have to be prepared to use military force against terrorist base camps, we have to work closely with our allies to make sure that they're working with us and we with them and we can give no quarter when it comes to breaking the back of international terrorism.",No
751,"That was a tragic mistake that we made, a mistake that Mr. Bush made and others made and it should never ever be made again.",No
755,"Yes, we shouldn't trade arms for hostages.",No
757,"Now, it's fine to say that sometimes you have to hit base camps, but when the president saw this state sponsored-fingerprints of Muammar Khadaffi on the loss of American life, he hit Libya.",Yes
764,And I've said mistakes were made.,No
766,That is a very serious charge against the president.,No
768,But the point is sometimes the action-,No
781,Are we closer to peace?,No
782,Are we doing better in anti-terrorism?,No
784,How is our credibility with the GCC countries on the Western side of the Gulf.,No
785,Is Iran talking to Iraq about peace?,No
790,Now we have a chance.,No
792,"And, so, I think that I'd leave it right there and say that you judge on the whole record.",No
793,And let me say this-all he can talk about-he goes around ranting about Noriega.,No
795,"He can talk about Iran/Contra and also-I'll make a deal with you, I will take the blame for those two incidents if you give me half the credit for all the good things that have happened in world peace since Ronald Reagan and I took over from the Carter administration.",No
797,I still have a couple of minutes left.,No
798,And there is a difference principle -,No
808,I said I wasn't perfect.,No
810,"25th of December, Mr. Vice President.",No
817,A report on international terrorism chaired by the Vice President was released and made some very specific recommendations about how to deal with terrorism.,Yes
821,Very serious mistakes in judgment were made.,No
822,"He says, ""Well, let's concede that the administration has been doing business with Noriega.",Yes
823,"Has made him a part of our foreign policy and has been funneling aid to Contras through convicted drug dealers.""",Yes
824,"I think those are very very serious questions of judgment, which those of you who are watching us here tonight have a right to judge and review.",No
825,We're not going to make those kinds of mistakes.,No
827,"If you do, you invite the taking of more hostages.",No
835,"I see a young man that was elected to the Senate twice, to the House of Representatives twice.",No
836,I see a man who is young and I am putting my confidence in a whole generation of people that are in their 30's and 40's.,No
839,And I believe that he will be outstanding.,No
841,And I'd like each person to say did I jump to conclusions running down rumors that were so outrageous and so brutal.,No
843,And he will do very very well.,No
844,And he has my full confidence and he'll have the confidence of people that are in their 30's and 40's and more.,No
845,"So, judge the man on his record not on the-lot of rumors and innuendo and trying to fool around with his name.",No
847,"Do you know who J. Danforth was, he was a man who gave his life in World War II, so ridiculing a person's name is a little beneath this process.",No
848,And he'll do very well when we get into the debates.,No
850,"Well, when it comes to ridicule, George, you win a gold medal.",No
851,I think we can agree on that in the course of this campaign.,No
854,But did I-did I sense a desire that maybe Lloyd Bentsen ought to be your running mate when you said there are three people on your ticket?,No
855,"No, I think the debate ought to be between you and Lloyd.",No
856,"I think the American people have a right to judge us on this question, on how we picked a running mate, a person who is a heartbeat away from the presidency.",No
859,I doubt very much that Dan Quayle was the best qualified person for that job.,No
868,"Well, John, I'm a man that's been a chief executive for ten years.",No
875,"I picked him because he was somebody who would be a strong Vice President, somebody who would be an active Vice President.",No
876,"Somebody who would come to me if somebody came up with a crazy idea that we ought to trade arms to the Ayatollah for hostages and say, ""Mr.",No
878,"We shouldn't do that."" That's the kind of Vice President I want.",No
880,"When the Vice President makes a decision, that will be his decision.",No
881,And I'm very very proud of that choice.,No
882,And I didn't pick him because he agreed with me on everything.,No
884,"The fact is I've picked somebody who not only will be a great Vice President, but if, God forbid, something happens to the president, could step into that office and do so with distinction and with strength and with leadership.",No
889,"Well, I-we obviously have a difference.",No
890,I believe it does meet the test.,No
891,"We'll have an opportunity to see the two of them in action in a friendly forum, wonderful friendly fashion like this.",No
895,But now we've got the lines too carefully drawn here.,No
896,But you talk about judgment.,No
897,"I mean, what kind of judgment-I mean, jumping all over the president on his decision on one area of farm policy.",No
899,"I mean, there's-I don't think this is a fair argument.",No
900,"But nevertheless, I support my nominee for Vice President and he'll do an outstanding job.",No
908,And at the same time will destroy markets that are important to our farmers.,No
909,But I also believe we need an agricultural policy which doesn't cost us 15 to 20 to 25 billion dollars a year that it's been costing us over the course of the past three or four years under this administration.,Yes
911,And thanks to the Congress we now have an agricultural credit bill which is helping and improving the situation with at least some of our farmers.,Yes
912,"I think it's going to require a combination of supply management and reasonable price supports to make sure that our farmers get a decent price and I think it also is going to require an administration that understand that there are tremendous opportunities out there for the development of new uses for agricultural products, new uses which can help us to clean up our environment at the same time.",No
913,"Bio-degradable plastics-plastic-gasohol, which the Vice President has been involved in, road de-icers made from corn products.",Yes
914,"I mean, there are enormous opportunities out there to expand markets and to build a strong future for our farmers.",No
915,But I don't think there's anything mutually exclusive or contradictory about building a strong farm economy in this country and assisting our family farms and providing a good strong future for rural communities and for rural America and at the same time working on Third World debt.,No
923,"In terms of the Third World, I support the Baker plan.",No
924,"I want to see market economies spring up all around the world and to the degree they do, we are succeeding.",No
926,"I would oppose that, but I think were on the right track in agriculture and I am very very encouraged.",No
927,"But let's not go back to that-what they call supply management and production control, that'll simply price us out of the international market.",No
928,Let's try to expand our markets abroad.,No
937,But there are two main focal points of this election.,No
939,I want to keep this expansion going.,No
940,"Yes, we want change but we are the change.",No
945,The best poverty program is a job with dignity in the private sector.,No
946,"And in terms of peace, we are on the right track.",No
949,I want to see asymmetrical reductions in conventional forces.,No
950,And then it gets down to a question of values.,No
951,We've had a chance to spell out our differences on the Pledge of Allegiance here tonight and on tough sentencing of drug king pins and this kind of thing.,No
952,And I do favor the death penalty.,No
955,Who has the experience that we trust?,No
956,"Who has the integrity and stability to get the job done?"" My fellow Americans, I am that man and I ask for your support.",No
960,We've had an opportunity to campaign all over this country and to meet with so many of you in communities and states and regions to get to know you.,No
964,I believe in the American dream.,No
965,"I'm a product of it and I want to help that dream come true for every single citizen in this land, with a good job and good wages, with good schools in every part of this country and every community in this country.",No
